DistrictName,language,families
Auburn School District,Acholi,1
Auburn School District,American Sign Language,7
Auburn School District,Amharic,17
Auburn School District,Arabic,90
Auburn School District,Ayula-Bambara,6
Auburn School District,Burmese,27
Auburn School District,Cebuano,5
Auburn School District,Chin,2
Auburn School District,Chinese-Cantonese,2
Auburn School District,Chinese-Mandarin,10
Auburn School District,Chinese-Taiwanese,3
Auburn School District,Chuukese,6
Auburn School District,Dari,679
Auburn School District,Dinka,8
Auburn School District,Ewe,2
Auburn School District,Farsi,16
Auburn School District,French,25
Auburn School District,Fula,4
Auburn School District,German,1
Auburn School District,Haitian Creole,4
Auburn School District,Hausa,1
Auburn School District,Hawaiian,2
Auburn School District,Hindi,10
Auburn School District,Igbo,2
Auburn School District,Ilokano,7
Auburn School District,Italian,1
Auburn School District,Japanese,16
Auburn School District,Kakwa,1
Auburn School District,Karen,1
Auburn School District,Khmer,49
Auburn School District,Kinyarwanda,4
Auburn School District,Korean,32
Auburn School District,Kosraean,9
Auburn School District,Krahn,1
Auburn School District,Kurdish,29
Auburn School District,Lao,33
Auburn School District,Luganda,2
Auburn School District,Maay Maay,4
Auburn School District,Malayalam,2
Auburn School District,Mam,1
Auburn School District,Mandingo,5
Auburn School District,Mandinka,2
Auburn School District,Marshallese,342
Auburn School District,Mien,4
Auburn School District,Mongolian,2
Auburn School District,Moore,3
Auburn School District,"Nahuatl, Guerrero region",1
Auburn School District,Nepali,22
Auburn School District,Nuer,1
Auburn School District,Oromo,1
Auburn School District,Pashto,229
Auburn School District,Polish,2
Auburn School District,Portuguese,12
Auburn School District,Punjabi,152
Auburn School District,Romanian,3
Auburn School District,Russian,176
Auburn School District,Samoan,33
Auburn School District,Somali,71
Auburn School District,Spanish,3432
Auburn School District,Swahili,28
Auburn School District,Tagalog,56
Auburn School District,Thai,7
Auburn School District,Tigrinya,28
Auburn School District,Tongan,19
Auburn School District,Turkish,26
Auburn School District,Ukrainian,737
Auburn School District,Urdu,7
Auburn School District,Vietnamese,136
Auburn School District,Wolof,2
Auburn School District,Yoruba,2
Federal Way School District,Akateko,3
Federal Way School District,American Sign Language,9
Federal Way School District,Amharic,29
Federal Way School District,Arabic,71
Federal Way School District,Azerbaijani,1
Federal Way School District,Bangala,1
Federal Way School District,Bengali,2
Federal Way School District,Bulgarian,2
Federal Way School District,Burmese,4
Federal Way School District,Cebuano,2
Federal Way School District,Chamorro,2
Federal Way School District,Chin,1
Federal Way School District,Chinese-Cantonese,27
Federal Way School District,Chinese-Mandarin,34
Federal Way School District,Chinese-Taiwanese,1
Federal Way School District,Chuukese,22
Federal Way School District,Dari,863
Federal Way School District,Dinka,6
Federal Way School District,Dutch,1
Federal Way School District,Farsi,68
Federal Way School District,French,67
Federal Way School District,Gujarati,2
Federal Way School District,Haitian Creole,29
Federal Way School District,Herero,1
Federal Way School District,Hindi,4
Federal Way School District,Ilokano,1
Federal Way School District,Indonesian,2
Federal Way School District,Japanese,2
Federal Way School District,Kakwa,3
Federal Way School District,Karen,1
Federal Way School District,Khmer,18
Federal Way School District,Kikuyu,2
