LanguageName,preferred_families
Spanish,19569
Dari,3040
Vietnamese,2033
Ukrainian,1781
Pashto,1116
Somali,1078
Russian,873
Punjabi,785
Arabic,620
Marshallese,446
Amharic,432
Chinese-Cantonese,412
Portuguese,337
French,295
Tagalog,294
Farsi,254
Burmese,249
Chinese-Mandarin,248
Chinese-Unspecified,243
Cambodian,219
Tigrinya,175
Turkish,161
Nepali,150
Korean,139
Swahili,128
Hindi,116
Samoan,111
Chuuk,104
Oromo,84
Persian,74
Khmer,73
Romanian,73
Lao,71
Lingala,62
Pilipino/Filipino,59
Kosraean,52
Creole,52
Urdu,51
Kurdish,51
Haitian Creole,46
Tongan,46
Ilokano,43
Japanese,43
Thai,35
Ethiopic,34
American Sign Language,34
Soninke,29
Unknown,29
Wolof,28
Mien,28
Dinka,24
Karen,24
Kinyarwanda,23
Bengali,23
Cham,21
Fula,19
Tamil,19
Telugu,19
Tedim,17
Uzbek,17
Gujarati,16
Bosnian,16
Palau,14
Malayalam,14
Maay,14
Hmong,13
Toishanese,12
Kirundi,12
Indonesian,11
Mongolian,11
Bisaya,11
Pushtu,11
Latin,10
Chinese-Taiwanese,10
Bantu,10
Albanian,9
Chamorro,9
Mandingo,8
Luganda,8
Chungki/Chunkese,7
Chin,7
Hawaiian,7
Nuer,7
Bulgarian,6
Cebuano,6
Ayula-Bambara,6
Rohingya,6
Tarasco,5
Twi,5
Karenni,5
Kikuya,5
German,5
Fallani,5
Malay,4
Mam,4
Igbo,4
Bangala,4
Hausa,4
Italian,4
Yap,4
Moore,4
Marathi,4
Liberian,4
Mandinka,4
Maya-Quiche,4
Kakwa,4
Taishan,4
Pahlavi,3
Visayan,3
Dutch,3
"Greek, Modern",3
Polish,3
Serbo-Croation,3
Armenian,3
Eritai,3
Azerbaijani,3
Akateko,3
Ewe,2
Aguacateco,2
Bambara,2
Egyptian-Arabic,2
Pere,2
Tajiki,2
Yoruba,2
Pur?pecha,2
Sinhalese,2
Shona,2
Sotho,2
Krahn,2
Kmhmu,2
Marquesan,2
Mixteco,2
Kannada,2
Kongo,2
Latvian,2
Krio,2
Kazakh,2
Kikuyu,2
Estonian,2
Chinese-Fukienese,2
Hungarian,2
Bassa,1
Carolinian,1
Catalan,1
Ga,1
Acholi,1
Kirgiz,1
Moldavian,1
Herero,1
Sao,1
Kru,1
"Nahuatl, Guerrero region",1
Slovenian,1
Tibetan,1
Pashai,1
Nigerian,1
Icelandic (Old),0
Jola-Fonyi,0
Jamaican Creole English,0
Jamaican,0
Inupiaq,0
Hiligaynon,0
"Hebrew, Modern",0
Efik,0
Dire,0
Assamese,0
Akan,0
Afar,0
Afrikaans,0
Bamana,0
Balinese,0
Bemba,0
Garifuna,0
Fulfulde,0
Fijian,0
Fanti,0
Cakchiquel,0
Berber,0
Czech,0
Kanjobal,0
Lithuanian,0
Pampangan,0
Ouolof,0
Norwegian,0
Odia,0
Navajo,0
Nanai,0
Maori,0
Mizo,0
Lushootseed,0
Makua,0
Karon - African,0
Khalkha,0
Kishinau,0
Kunama,0
Lai,0
Pohnpeian,0
Stoney,0
Sonrai,0
Slovak,0
Serbian,0
Rwanda,0
Sahaptian,0
Pulau-Guai,0
Romansch,0
Sudanese-Arabic,0
Swedish,0
Susu,0
Tulu,0
Turkmen,0
Triqui,0
Tswana,0
Zigula,0
