agency_id,agency_name,sector,service_scope,king_county_authority,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,translated_page_count,quality_verdict,tier_verified,evidence_url,capture_date,notes,assigned_by,assignment_method,widget,widget_restricted,widget_language_count,translated_page_slugs,language_access_page_count,site_page_count,is_state_channel,dshs_client_households,in_language_phone,oral_locations_phone,oral_locations_video,oral_availability,collection_branches,collection_branch_names,translated_doc_count,translated_doc_types,oral_hours
city_auburn,City of Auburn,city,city,False,Acholi,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Aguacateco,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Akateko,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Albanian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,American Sign Language,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Amharic,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Arabic,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Armenian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Ayula-Bambara,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Azerbaijani,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Bambara,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Bangala,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Bassa,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Bengali,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Bosnian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Bulgarian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Burmese,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Carolinian,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Catalan,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Cebuano,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Cham,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chamorro,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chin,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chinese-Cantonese,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chinese-Fukienese,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chinese-Mandarin,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chinese-Taiwanese,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Chuukese,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Dari,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Dinka,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Dutch,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Egyptian-Arabic,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Eritai,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Estonian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Ewe,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Fallani,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Farsi,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,French,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Fula,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Ga,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,German,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,"Greek, Modern",0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Gujarati,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Haitian Creole,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Hausa,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Hawaiian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Herero,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Hindi,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Hmong,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Hungarian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Igbo,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Ilokano,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Indonesian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Italian,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Japanese,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Kakwa,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Kannada,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Karen,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Karenni,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Kazakh,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Khmer,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Kikuyu,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Kinyarwanda,1.0,2.0,,True,machine_widget,0.0,,,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
city_auburn,City of Auburn,city,city,False,Kirgiz,0.0,0.0,,False,none,0.0,,,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived,google_translate,False,,,1.0,1029.0,,,,,,,,,,,
