puma,language,people,puma_name
23307,Spanish,17743,Auburn
23307,Ukrainian,4044,Auburn
23307,Russian,3461,Auburn
23307,Vietnamese,2362,Auburn
23307,Tagalog,1864,Auburn
23307,Korean,1759,Auburn
23307,Punjabi,1745,Auburn
23307,Marshallese,1194,Auburn
23307,Swahili,753,Auburn
23307,Somali,626,Auburn
23307,Farsi,577,Auburn
23307,Samoan,518,Auburn
23307,Arabic,510,Auburn
23307,Khmer,454,Auburn
23307,Pashto,436,Auburn
23307,Dari,427,Auburn
23307,Lao,421,Auburn
23307,Filipino,409,Auburn
23307,Amharic,399,Auburn
23307,Chinese,390,Auburn
23307,Mandarin,349,Auburn
23307,Igbo,327,Auburn
23307,Japanese,283,Auburn
23307,Turkish,263,Auburn
23307,Other Bantu languages,228,Auburn
23307,Cantonese,226,Auburn
23307,Hindi,220,Auburn
23307,French,211,Auburn
23307,Polish,178,Auburn
23307,Other Native North American languages,172,Auburn
23307,Other and unspecified languages,146,Auburn
23307,Ilocano,143,Auburn
23307,Portuguese,133,Auburn
23307,Thai,121,Auburn
23307,Dutch,107,Auburn
23307,Cebuano,91,Auburn
23307,Tamil,87,Auburn
23307,Bengali,82,Auburn
23307,German,77,Auburn
23307,Malayalam,74,Auburn
23307,Nepali,68,Auburn
23307,Greek,61,Auburn
23307,Kurdish,61,Auburn
23307,Iu Mien,60,Auburn
23307,Yoruba,58,Auburn
23307,Czech,55,Auburn
23307,Nilo-Saharan languages,49,Auburn
23307,Other languages of Africa,46,Auburn
23307,Tongan,44,Auburn
23307,Other Eastern Malayo-Polynesian languages,39,Auburn
23307,Hungarian,38,Auburn
23307,Italian,37,Auburn
23307,Telugu,37,Auburn
23307,Hebrew,27,Auburn
23307,Romanian,27,Auburn
23307,Bulgarian,26,Auburn
23307,Afrikaans,24,Auburn
23307,Jamaican Creole English,21,Auburn
23307,Other languages of Asia,18,Auburn
23307,Norwegian,15,Auburn
23307,Other Philippine languages,14,Auburn
23307,Other Indo-European languages,13,Auburn
23307,Indonesian,12,Auburn
23307,Apache languages,10,Auburn
23307,Mongolian,7,Auburn
23307,Haitian,6,Auburn
23307,Irish,4,Auburn
23307,Yiddish,2,Auburn
23308,Spanish,19199,Federal Way / Des Moines / Vashon
23308,Korean,2706,Federal Way / Des Moines / Vashon
23308,Vietnamese,2688,Federal Way / Des Moines / Vashon
23308,Tagalog,2213,Federal Way / Des Moines / Vashon
23308,Swahili,2175,Federal Way / Des Moines / Vashon
23308,Russian,2020,Federal Way / Des Moines / Vashon
23308,Somali,1622,Federal Way / Des Moines / Vashon
23308,Samoan,1567,Federal Way / Des Moines / Vashon
23308,Arabic,1009,Federal Way / Des Moines / Vashon
23308,Ukrainian,905,Federal Way / Des Moines / Vashon
23308,Chinese,843,Federal Way / Des Moines / Vashon
23308,Farsi,834,Federal Way / Des Moines / Vashon
23308,Amharic,798,Federal Way / Des Moines / Vashon
23308,Dari,662,Federal Way / Des Moines / Vashon
23308,Filipino,627,Federal Way / Des Moines / Vashon
23308,French,610,Federal Way / Des Moines / Vashon
23308,Cantonese,553,Federal Way / Des Moines / Vashon
23308,Tongan,443,Federal Way / Des Moines / Vashon
23308,Khmer,441,Federal Way / Des Moines / Vashon
23308,Portuguese,413,Federal Way / Des Moines / Vashon
23308,Japanese,346,Federal Way / Des Moines / Vashon
23308,Polish,326,Federal Way / Des Moines / Vashon
23308,Malayalam,296,Federal Way / Des Moines / Vashon
23308,German,264,Federal Way / Des Moines / Vashon
23308,Hindi,234,Federal Way / Des Moines / Vashon
23308,Chamorro,214,Federal Way / Des Moines / Vashon
23308,Akan (including Twi),202,Federal Way / Des Moines / Vashon
23308,Other Eastern Malayo-Polynesian languages,196,Federal Way / Des Moines / Vashon
23308,Urdu,188,Federal Way / Des Moines / Vashon
23308,Igbo,186,Federal Way / Des Moines / Vashon
23308,Punjabi,180,Federal Way / Des Moines / Vashon
23308,Other Bantu languages,174,Federal Way / Des Moines / Vashon
23308,Pashto,162,Federal Way / Des Moines / Vashon
23308,Cebuano,145,Federal Way / Des Moines / Vashon
23308,Other Afro-Asiatic languages,134,Federal Way / Des Moines / Vashon
23308,Thai,130,Federal Way / Des Moines / Vashon
23308,Tigrinya,128,Federal Way / Des Moines / Vashon
23308,Turkish,127,Federal Way / Des Moines / Vashon
23308,Romanian,113,Federal Way / Des Moines / Vashon
23308,Haitian,108,Federal Way / Des Moines / Vashon
23308,Mongolian,101,Federal Way / Des Moines / Vashon
