agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,district_name,languages_served,sectors_covered
kcls,King County Library System,library,kcls-154,Tukwila,library_branch,47.4740802,-122.28445569999997,Tukwila School District,Arabic; Dari; Farsi; French; Hindi; Portuguese; Somali; Spanish; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-155,Kent Panther Lake,library_branch,47.4184091,-122.1967444,Kent School District,Spanish,"library, transit"
kcls,King County Library System,library,kcls-1489,Algona-Pacific,library_branch,47.27086656059546,-122.24822483593748,Auburn School District,Russian; Spanish; Ukrainian,"library, transit"
kcls,King County Library System,library,kcls-1490,Auburn,library_branch,47.2987505,-122.2180159,Auburn School District,Marshallese; Russian; Spanish; Tagalog,"library, transit"
kcls,King County Library System,library,kcls-1494,Boulevard Park,library_branch,47.4953817,-122.30778729999996,Highline School District,Somali; Spanish,"library, transit"
kcls,King County Library System,library,kcls-1495,Burien,library_branch,47.4671057,-122.33959449999998,Highline School District,Arabic; Chinese-Cantonese; Chinese-Mandarin; Somali; Spanish; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1497,Covington,library_branch,47.359023,-122.1218331,Kent School District,Arabic; Chinese-Cantonese; Chinese-Mandarin; Hindi; Punjabi; Russian; Spanish; Tagalog; Ukrainian,"library, transit"
kcls,King County Library System,library,kcls-1502,Des Moines,library_branch,47.408173,-122.31943539999996,Highline School District,Russian; Spanish; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1505,Federal Way 320th,library_branch,47.3155306,-122.3209334,Federal Way School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Ukrainian,"library, transit"
kcls,King County Library System,library,kcls-1508,Fairwood,library_branch,47.4507033,-122.15440439999998,Renton School District,Chinese-Cantonese; Chinese-Mandarin; Hindi; Korean; Russian; Somali; Spanish; Tagalog; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1509,Federal Way,library_branch,47.2944868,-122.3318314,Federal Way School District,Chinese-Cantonese; Chinese-Mandarin; Dari; Farsi; Hindi; Japanese; Korean; Punjabi; Russian; Spanish; Tagalog; Ukrainian; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1510,Greenbridge,library_branch,47.5161164,-122.34511709999998,Highline School District,Arabic; Somali; Spanish; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1526,Muckleshoot,library_branch,47.2433182,-122.1129707,Auburn School District,Spanish,"library, transit"
kcls,King County Library System,library,kcls-1538,Southcenter,library_branch,47.4587069,-122.26121469999998,Tukwila School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1541,Skyway,library_branch,47.4901838,-122.2383256,Renton School District,Amharic; Chinese-Cantonese; Chinese-Mandarin; Somali; Spanish; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1546,Valley View,library_branch,47.4432294,-122.27371010000002,Highline School District,Amharic; Arabic; French; Punjabi; Somali; Spanish,"library, transit"
kcls,King County Library System,library,kcls-1547,White Center,library_branch,47.506889,-122.35292500000004,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Somali; Spanish; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1549,Woodmont,library_branch,47.3610092,-122.30837459999998,Federal Way School District,Arabic; Hindi; Russian; Spanish,"library, transit"
kcls,King County Library System,library,kcls-1556,Renton,library_branch,47.48191689999999,-122.2021034,Renton School District,Arabic; Chinese-Cantonese; Chinese-Mandarin; Hindi; Russian; Somali; Spanish; Ukrainian; Vietnamese,"library, transit"
kcls,King County Library System,library,kcls-1557,Renton Highlands,library_branch,47.4998031,-122.1812537,Renton School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Vietnamese,"library, transit"
kcmetro,King County Metro,transit,kcmetro-21945,Kent Des Moines Park And Ride,transit_center_or_park_ride,47.3917961,-122.287567,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-42576,Twin Lakes Park & Ride - Bay 2,transit_center_or_park_ride,47.2944527,-122.359009,Federal Way School District,Tagalog,"library, transit"
kcmetro,King County Metro,transit,kcmetro-42961,Kent Des Moines Station - Bay 5,transit_center_or_park_ride,47.3898811,-122.295448,Highline School District,Tagalog,"library, transit"
