agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,gtfs_location_type,capture_date,source_url
kcmetro,King County Metro,transit,kcmetro-10911,U District Station - Bay 3,transit_center_or_park_ride,47.6612053,-122.313477,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-11358,U District Station - Bay 2,transit_center_or_park_ride,47.6613388,-122.313614,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-16100,Aurora Village Transit Center - Bay 10,transit_center_or_park_ride,47.7742424,-122.342407,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-16101,Aurora Village Transit Center - Bay 1,transit_center_or_park_ride,47.7745056,-122.341988,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-16103,Aurora Village Transit Center - Bay 3,transit_center_or_park_ride,47.7745056,-122.340881,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-16430,Roosevelt Station - Bay 1,transit_center_or_park_ride,47.6757507,-122.316673,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-16440,Roosevelt Station - Bay 5,transit_center_or_park_ride,47.675457,-122.317467,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-21141,Olson-Myers Way Park And Ride,transit_center_or_park_ride,47.5196114,-122.336197,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-21945,Kent Des Moines Park And Ride,transit_center_or_park_ride,47.3917961,-122.287567,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-23421,Roosevelt Station - Bay 4,transit_center_or_park_ride,47.6767235,-122.317482,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-23561,Roosevelt Station - Bay 3,transit_center_or_park_ride,47.6771355,-122.315582,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-35317,Northgate Station - Bay 1,transit_center_or_park_ride,47.7028084,-122.328423,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-35318,Northgate Station - Bay 4,transit_center_or_park_ride,47.7023087,-122.328026,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-35319,Northgate Station - Bay 3,transit_center_or_park_ride,47.7015343,-122.328011,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-35911,Judkins Park Station - Bay 1,transit_center_or_park_ride,47.5901718,-122.307289,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-35922,Judkins Park Station - Bay 2,transit_center_or_park_ride,47.5906944,-122.307465,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-36940,Roosevelt Station - Bay 2,transit_center_or_park_ride,47.6758881,-122.315994,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-42576,Twin Lakes Park & Ride - Bay 2,transit_center_or_park_ride,47.2944527,-122.359009,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-42961,Kent Des Moines Station - Bay 5,transit_center_or_park_ride,47.3898811,-122.295448,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
