NAME,B16001_001E,B16001_002E,B16001_003E,B16001_004E,B16001_005E,B16001_006E,B16001_007E,B16001_008E,B16001_009E,B16001_010E,B16001_011E,B16001_012E,B16001_013E,B16001_014E,B16001_015E,B16001_016E,B16001_017E,B16001_018E,B16001_019E,B16001_020E,B16001_021E,B16001_022E,B16001_023E,B16001_024E,B16001_025E,B16001_026E,B16001_027E,B16001_028E,B16001_029E,B16001_030E,B16001_031E,B16001_032E,B16001_033E,B16001_034E,B16001_035E,B16001_036E,B16001_037E,B16001_038E,B16001_039E,B16001_040E,B16001_041E,B16001_042E,B16001_043E,B16001_044E,B16001_045E,state,public use microdata area,B16001_046E,B16001_047E,B16001_048E,B16001_049E,B16001_050E,B16001_051E,B16001_052E,B16001_053E,B16001_054E,B16001_055E,B16001_056E,B16001_057E,B16001_058E,B16001_059E,B16001_060E,B16001_061E,B16001_062E,B16001_063E,B16001_064E,B16001_065E,B16001_066E,B16001_067E,B16001_068E,B16001_069E,B16001_070E,B16001_071E,B16001_072E,B16001_073E,B16001_074E,B16001_075E,B16001_076E,B16001_077E,B16001_078E,B16001_079E,B16001_080E,B16001_081E,B16001_082E,B16001_083E,B16001_084E,B16001_085E,B16001_086E,B16001_087E,B16001_088E,B16001_089E,B16001_090E,B16001_091E,B16001_092E,B16001_093E,B16001_094E,B16001_095E,B16001_096E,B16001_097E,B16001_098E,B16001_099E,B16001_100E,B16001_101E,B16001_102E,B16001_103E,B16001_104E,B16001_105E,B16001_106E,B16001_107E,B16001_108E,B16001_109E,B16001_110E,B16001_111E,B16001_112E,B16001_113E,B16001_114E,B16001_115E,B16001_116E,B16001_117E,B16001_118E,B16001_119E,B16001_120E,B16001_121E,B16001_122E,B16001_123E,B16001_124E,B16001_125E,B16001_126E,B16001_127E,B16001_128E
"Walla Walla, Benton (Outer) & Franklin (Outer) Counties PUMA; Washington",114235,85315,25544,15639,9905,316,279,37,8,0,8,29,14,15,54,40,14,130,121,9,8,8,0,16,16,0,120,115,5,11,11,0,33,18,15,297,224,73,0,0,0,22,22,0,0,53,20501,0,0,141,94,47,0,0,0,0,0,0,5,5,0,24,24,0,22,22,0,8,8,0,6,6,0,7,7,0,252,93,159,82,28,54,94,27,67,68,29,39,268,147,121,10,0,10,149,105,44,8,0,8,191,151,40,92,70,22,522,442,80,10,10,0,238,202,36,0,0,0,24,3,21,5,0,5,15,15,0,91,83,8
Benton County (East Central)--Kennewick & Richland (South) Cities PUMA; Washington,117570,88894,22430,14010,8420,98,82,16,0,0,0,0,0,0,10,10,0,373,360,13,26,26,0,0,0,0,213,149,64,54,54,0,691,410,281,80,22,58,0,0,0,57,13,44,15,53,20502,15,0,485,305,180,337,315,22,141,141,0,69,50,19,88,88,0,153,145,8,17,17,0,0,0,0,0,0,0,587,250,337,111,90,21,441,280,161,0,0,0,428,218,210,72,0,72,18,0,18,239,115,124,261,202,59,96,29,67,710,289,421,0,0,0,0,0,0,68,68,0,211,211,0,0,0,0,89,89,0,8,8,0
"Franklin & Benton Counties--Pasco, Richland (North) & West Richland Cities PUMA; Washington",117855,75471,37490,22758,14732,89,89,0,0,0,0,6,6,0,59,27,32,319,313,6,75,75,0,8,0,8,707,236,471,28,15,13,198,131,67,834,538,296,0,0,0,0,0,0,0,53,20503,0,0,142,139,3,40,26,14,0,0,0,110,84,26,0,0,0,27,27,0,79,57,22,41,41,0,0,0,0,508,462,46,80,53,27,76,38,38,0,0,0,648,320,328,0,0,0,157,51,106,128,42,86,190,179,11,102,91,11,192,127,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0
Chelan & Douglas Counties PUMA; Washington,117416,86711,28720,15730,12990,228,187,41,0,0,0,87,87,0,0,0,0,285,274,11,13,13,0,55,19,36,97,58,39,15,15,0,0,0,0,169,145,24,0,0,0,0,0,0,1,53,20700,1,0,21,21,0,12,12,0,96,64,32,42,22,20,1,1,0,13,13,0,0,0,0,21,13,8,0,0,0,181,122,59,104,80,24,41,41,0,0,0,0,115,1,114,16,0,16,75,10,65,38,8,30,123,53,70,73,47,26,12,12,0,0,0,0,19,19,0,2,2,0,0,0,0,0,0,0,6,6,0,24,24,0
Clallam & Jefferson Counties PUMA; Washington,107634,101007,3061,2205,856,363,339,24,0,0,0,47,47,0,90,90,0,683,575,108,92,89,3,11,11,0,97,60,37,29,20,9,0,0,0,92,92,0,0,0,0,13,13,0,217,53,20900,217,0,44,44,0,10,0,10,23,23,0,0,0,0,0,0,0,220,170,50,20,20,0,5,5,0,0,0,0,266,126,140,137,90,47,52,14,38,0,0,0,74,27,47,18,3,15,79,55,24,138,130,8,164,106,58,95,39,56,14,14,0,21,0,21,8,0,8,39,39,0,36,36,0,2,2,0,219,199,20,148,125,23
Clark County (North)--Battle Ground City & Orchards PUMA; Washington,132723,115754,6242,4169,2073,253,253,0,0,0,0,23,23,0,86,73,13,411,383,28,128,114,14,36,36,0,3534,1939,1595,9,9,0,184,145,39,1795,843,952,30,30,0,69,33,36,0,53,21101,0,0,132,104,28,0,0,0,91,63,28,0,0,0,0,0,0,766,549,217,72,51,21,0,0,0,0,0,0,740,260,480,57,45,12,215,117,98,87,86,1,476,223,253,231,87,144,228,154,74,167,93,74,234,168,66,254,161,93,126,126,0,1,0,1,31,12,19,132,120,12,43,0,43,0,0,0,17,17,0,69,69,0
"Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA; Washington",114805,94841,6748,4339,2409,197,185,12,0,0,0,16,16,0,48,28,20,418,387,31,39,10,29,45,45,0,2263,1628,635,37,37,0,330,254,76,418,153,265,14,14,0,82,60,22,34,53,21102,34,0,198,136,62,55,55,0,321,146,175,24,24,0,55,55,0,410,391,19,70,65,5,239,150,89,100,71,29,2785,1612,1173,518,343,175,648,387,261,41,0,41,1056,600,456,112,33,79,111,45,66,310,124,186,491,400,91,534,374,160,610,452,158,58,58,0,109,78,31,101,59,42,154,128,26,0,0,0,49,49,0,116,116,0
Clark County (Southwest)--Vancouver City (West & Central) PUMA; Washington,118029,96209,12214,7582,4632,269,239,30,52,52,0,56,48,8,163,147,16,228,163,65,32,32,0,136,136,0,1721,1042,679,14,14,0,278,138,140,831,189,642,38,38,0,187,82,105,12,53,21103,12,0,149,126,23,24,24,0,65,65,0,0,0,0,0,0,0,530,321,209,91,36,55,72,72,0,17,17,0,232,103,129,317,217,100,360,79,281,66,66,0,866,273,593,74,36,38,133,107,26,422,212,210,644,449,195,633,365,268,384,357,27,0,0,0,249,149,100,142,142,0,59,57,2,0,0,0,11,11,0,49,37,12
Clark County (West Central)--Salmon Creek & Hazel Dell PUMA; Washington,122510,100590,8052,5763,2289,513,486,27,70,70,0,23,0,23,502,502,0,481,460,21,40,40,0,19,11,8,3263,1647,1616,0,0,0,363,261,102,966,514,452,127,54,73,238,77,161,110,53,21104,77,33,156,115,41,27,12,15,266,138,128,0,0,0,9,9,0,1027,655,372,28,28,0,11,11,0,0,0,0,1106,673,433,208,176,32,498,235,263,60,49,11,1289,452,837,128,128,0,291,260,31,241,107,134,666,579,87,468,432,36,119,86,33,9,9,0,94,44,50,354,354,0,21,21,0,7,0,7,5,5,0,65,65,0
"Cowlitz, Pacific, & Wahkiakum Counties PUMA; Washington",133646,122908,7668,4502,3166,342,283,59,0,0,0,48,48,0,105,92,13,447,315,132,51,51,0,25,25,0,244,194,50,5,5,0,33,33,0,2,0,2,0,0,0,24,24,0,0,53,21500,0,0,52,25,27,0,0,0,67,67,0,0,0,0,51,51,0,59,49,10,0,0,0,45,0,45,0,0,0,93,65,28,177,111,66,101,41,60,0,0,0,134,30,104,135,55,80,66,36,30,24,16,8,382,201,181,268,60,208,0,0,0,26,26,0,0,0,0,0,0,0,10,10,0,0,0,0,2,2,0,52,35,17
