NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Enumclaw School District, Washington",26880,24276,1098,644,454,8,0,8,111,111,0,73,52,21,481,364,117,72,28,44,43,17,26,25,20,5,225,225,0,271,204,67,0,0,0,197,197,0,53,00001
"Inchelium School District, Washington",1140,1070,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,2,0,2,55,55,0,53,00002
"Kelso School District, Washington",29451,27745,1187,583,604,26,17,9,61,46,15,6,6,0,11,11,0,7,0,7,18,18,0,3,0,3,121,55,66,266,61,205,0,0,0,0,0,0,53,00003
"Aberdeen School District, Washington",19930,16895,2531,1312,1219,28,28,0,132,68,64,0,0,0,35,22,13,4,4,0,0,0,0,0,0,0,33,1,32,108,65,43,101,43,58,63,34,29,53,00030
"Adna School District, Washington",4460,4401,0,0,0,24,24,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,53,00060
"Almira School District, Washington",531,498,28,21,7,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,00090
"Anacortes School District, Washington",22531,21424,452,323,129,82,75,7,185,163,22,83,55,28,54,49,5,28,27,1,51,25,26,13,10,3,58,32,26,84,40,44,1,1,0,16,13,3,53,00150
"Arlington School District, Washington",32105,29189,1383,774,609,99,99,0,76,76,0,122,70,52,98,78,20,57,18,39,143,135,8,220,146,74,398,355,43,262,235,27,0,0,0,58,47,11,53,00240
"Asotin-Anatone School District, Washington",2753,2725,8,8,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,00280
"Auburn School District, Washington",94563,61682,13905,7521,6384,289,289,0,161,125,36,5394,2247,3147,2544,1433,1111,1002,442,560,543,229,314,1475,569,906,1490,964,526,2937,1848,1089,1020,784,236,2121,1600,521,53,00300
"Bainbridge Island School District, Washington",23506,22007,456,430,26,192,192,0,114,114,0,35,16,19,374,336,38,35,35,0,29,14,15,13,0,13,70,70,0,131,111,20,0,0,0,50,50,0,53,00330
"Battle Ground School District, Washington",80230,69604,3016,1934,1082,123,123,0,327,273,54,4061,2199,1862,1081,759,322,156,55,101,410,247,163,407,216,191,46,46,0,685,481,204,199,179,20,115,53,62,53,00380
"Bellevue School District, Washington",142195,72129,7020,4187,2833,1577,1359,218,641,551,90,4574,2861,1713,13023,11036,1987,3211,1493,1718,22529,13978,8551,2076,780,1296,711,527,184,12326,8379,3947,768,506,262,1610,1240,370,53,00390
"Bellingham School District, Washington",109198,96988,5877,4159,1718,412,237,175,647,640,7,455,263,192,1017,758,259,230,136,94,1538,1166,372,472,155,317,479,386,93,712,383,329,139,124,15,232,212,20,53,00420
"Benge School District, Washington",43,41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,00450
"Bethel School District, Washington",117897,97168,9026,6868,2158,805,380,425,304,251,53,2392,1352,1040,1252,776,476,1592,948,644,248,115,133,106,10,96,1623,1213,410,2602,1776,826,241,140,101,538,371,167,53,00480
