SchoolYear,OrganizationLevel,County,ESDOrganizationId,ESDName,DistrictOrganizationId,DistrictCode,DistrictName,StudentCount_OrganizationTotal,LanguageName,StudentCount_PrimaryLanguage,StudentCount_LanguageSpokenAtHome,StudentCount_PreferredFamilyLanguage,DataAsOf
2024-25,County,Adams,,County Total,,,County Total,5639,Chinese-Cantonese,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Chinese-Unspecified,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,English,2344,2585,3110,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,German,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Mam,59,48,31,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Mixteco,201,176,114,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Punjabi,3,2,0,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Q'anjob'al,2,0,0,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Q'eqchi',3,2,2,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Samoan,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Spanish,3011,2815,2707,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Tagalog,2,2,0,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Unknown,11,6,1,2025 Oct 30 12:00:00 AM
2024-25,County,Adams,,County Total,,,County Total,5639,Vietnamese,1,1,1,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Amharic,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Arabic,3,3,3,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Chewa,0,0,2,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Chinese-Unspecified,3,3,2,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Creole,1,1,3,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,English,3321,3349,3385,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,French,1,0,0,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Haitian Creole,0,0,1,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Hawaiian,0,1,0,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Malayalam,2,2,0,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Marshallese,1,0,1,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Pilipino/Filipino,4,2,0,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Punjabi,1,1,0,2025 Oct 30 12:00:00 AM
2024-25,County,Asotin,,County Total,,,County Total,3408,Russian,2,1,3,2025 Oct 30 12:00:00 AM
