variable,label
B16001_001E,Total:
B16001_002E,Speak only English
B16001_003E,Spanish:
B16001_004E,"Spanish:!!Speak English ""very well"""
B16001_005E,"Spanish:!!Speak English less than ""very well"""
B16001_006E,French (incl. Cajun):
B16001_007E,"French (incl. Cajun):!!Speak English ""very well"""
B16001_008E,"French (incl. Cajun):!!Speak English less than ""very well"""
B16001_009E,Haitian:
B16001_010E,"Haitian:!!Speak English ""very well"""
B16001_011E,"Haitian:!!Speak English less than ""very well"""
B16001_012E,Italian:
B16001_013E,"Italian:!!Speak English ""very well"""
B16001_014E,"Italian:!!Speak English less than ""very well"""
B16001_015E,Portuguese:
B16001_016E,"Portuguese:!!Speak English ""very well"""
B16001_017E,"Portuguese:!!Speak English less than ""very well"""
B16001_018E,German:
B16001_019E,"German:!!Speak English ""very well"""
B16001_020E,"German:!!Speak English less than ""very well"""
B16001_021E,"Yiddish, Pennsylvania Dutch or other West Germanic languages:"
B16001_022E,"Yiddish, Pennsylvania Dutch or other West Germanic languages:!!Speak English ""very well"""
B16001_023E,"Yiddish, Pennsylvania Dutch or other West Germanic languages:!!Speak English less than ""very well"""
B16001_024E,Greek:
B16001_025E,"Greek:!!Speak English ""very well"""
B16001_026E,"Greek:!!Speak English less than ""very well"""
B16001_027E,Russian:
B16001_028E,"Russian:!!Speak English ""very well"""
B16001_029E,"Russian:!!Speak English less than ""very well"""
B16001_030E,Polish:
B16001_031E,"Polish:!!Speak English ""very well"""
B16001_032E,"Polish:!!Speak English less than ""very well"""
B16001_033E,Serbo-Croatian:
B16001_034E,"Serbo-Croatian:!!Speak English ""very well"""
B16001_035E,"Serbo-Croatian:!!Speak English less than ""very well"""
B16001_036E,Ukrainian or other Slavic languages:
B16001_037E,"Ukrainian or other Slavic languages:!!Speak English ""very well"""
B16001_038E,"Ukrainian or other Slavic languages:!!Speak English less than ""very well"""
B16001_039E,Armenian:
B16001_040E,"Armenian:!!Speak English ""very well"""
B16001_041E,"Armenian:!!Speak English less than ""very well"""
B16001_042E,"Persian (incl. Farsi, Dari):"
B16001_043E,"Persian (incl. Farsi, Dari):!!Speak English ""very well"""
B16001_044E,"Persian (incl. Farsi, Dari):!!Speak English less than ""very well"""
B16001_045E,Gujarati:
B16001_046E,"Gujarati:!!Speak English ""very well"""
B16001_047E,"Gujarati:!!Speak English less than ""very well"""
B16001_048E,Hindi:
B16001_049E,"Hindi:!!Speak English ""very well"""
B16001_050E,"Hindi:!!Speak English less than ""very well"""
B16001_051E,Urdu:
B16001_052E,"Urdu:!!Speak English ""very well"""
B16001_053E,"Urdu:!!Speak English less than ""very well"""
B16001_054E,Punjabi:
B16001_055E,"Punjabi:!!Speak English ""very well"""
B16001_056E,"Punjabi:!!Speak English less than ""very well"""
B16001_057E,Bengali:
B16001_058E,"Bengali:!!Speak English ""very well"""
B16001_059E,"Bengali:!!Speak English less than ""very well"""
B16001_060E,"Nepali, Marathi, or other Indic languages:"
B16001_061E,"Nepali, Marathi, or other Indic languages:!!Speak English ""very well"""
B16001_062E,"Nepali, Marathi, or other Indic languages:!!Speak English less than ""very well"""
B16001_063E,Other Indo-European languages:
B16001_064E,"Other Indo-European languages:!!Speak English ""very well"""
B16001_065E,"Other Indo-European languages:!!Speak English less than ""very well"""
B16001_066E,Telugu:
B16001_067E,"Telugu:!!Speak English ""very well"""
B16001_068E,"Telugu:!!Speak English less than ""very well"""
B16001_069E,Tamil:
B16001_070E,"Tamil:!!Speak English ""very well"""
B16001_071E,"Tamil:!!Speak English less than ""very well"""
B16001_072E,"Malayalam, Kannada, or other Dravidian languages:"
B16001_073E,"Malayalam, Kannada, or other Dravidian languages:!!Speak English ""very well"""
B16001_074E,"Malayalam, Kannada, or other Dravidian languages:!!Speak English less than ""very well"""
B16001_075E,"Chinese (incl. Mandarin, Cantonese):"
B16001_076E,"Chinese (incl. Mandarin, Cantonese):!!Speak English ""very well"""
