district,language,families,service_points_serving_language,is_access_desert,example_points,sectors_covered
Highline School District,Spanish,5408,13,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Boulevard Park,"library, transit"
Kent School District,Spanish,3724,5,False,Covington; Kent Panther Lake; Kent Sounder Station,"library, transit"
Federal Way School District,Spanish,3480,7,False,Federal Way; Federal Way 320th; Federal Way Downtown; Star Lake,"library, transit"
Auburn School District,Spanish,3432,6,False,Algona-Pacific; Auburn; Auburn Station; Muckleshoot,"library, transit"
Renton School District,Spanish,2695,7,False,Fairwood; Renton; Renton Highlands; Skyway,"library, transit"
Kent School District,Dari,962,0,True,,"library, transit"
Federal Way School District,Dari,863,1,False,Federal Way,"library, transit"
Tukwila School District,Spanish,830,6,False,Southcenter; Tukwila; Tukwila Int'l Blvd; Tukwila International Blvd Station Entrance,"library, transit"
Auburn School District,Ukrainian,737,1,False,Algona-Pacific,"library, transit"
Auburn School District,Dari,679,0,True,,"library, transit"
Renton School District,Vietnamese,635,7,False,Fairwood; Renton; Renton Highlands; Skyway,"library, transit"
Kent School District,Ukrainian,537,1,False,Covington,"library, transit"
Kent School District,Vietnamese,535,3,False,Kent Sounder Station,"library, transit"
Kent School District,Punjabi,500,1,False,Covington,"library, transit"
Highline School District,Vietnamese,459,11,False,Angle Lake; Angle Lake Station North Entrance; Angle Lake Station South Entrance; Burien,"library, transit"
Kent School District,Somali,405,0,True,,"library, transit"
Federal Way School District,Ukrainian,373,2,False,Federal Way; Federal Way 320th,"library, transit"
Kent School District,Russian,352,4,False,Covington; Kent Sounder Station,"library, transit"
Kent School District,Pashto,351,0,True,,"library, transit"
Auburn School District,Marshallese,342,1,False,Auburn,"library, transit"
Federal Way School District,Pashto,283,0,True,,"library, transit"
Kent School District,Arabic,270,1,False,Covington,"library, transit"
Auburn School District,Pashto,229,0,True,,"library, transit"
Highline School District,Somali,215,5,False,Boulevard Park; Burien; Greenbridge; Valley View,"library, transit"
Highline School District,Dari,203,0,True,,"library, transit"
Renton School District,Dari,199,0,True,,"library, transit"
