language,families,districts,gap_score,no_local_any,no_local_document
Spanish,19569,6,1124.3,0,0
Dari,3040,6,182.3,0,0
Vietnamese,2033,6,122.0,0,0
Ukrainian,1781,6,106.9,0,0
Turkish,161,6,105.4,0,161
Nepali,150,6,69.7,0,121
Pashto,1127,6,67.6,0,0
Somali,1078,6,56.9,0,0
Russian,873,6,52.4,0,0
Kosraean,52,4,52.0,52,52
Punjabi,785,6,47.2,0,0
Lingala,62,5,40.5,0,62
Arabic,620,6,37.2,0,0
Kurdish,51,4,34.1,4,51
Ilokano,43,6,33.4,16,43
Urdu,51,5,33.4,0,51
Haitian Creole,46,6,30.2,0,46
Soninke,29,5,29.0,29,29
Mien,28,4,28.0,28,28
Marshallese,446,6,26.7,0,0
Amharic,432,6,25.8,0,0
Chinese-Cantonese,412,6,24.6,0,0
Karen,24,5,24.0,24,24
Tagalog,353,6,21.3,0,0
Cham,21,4,21.0,21,21
Portuguese,337,6,20.1,0,0
Farsi,328,6,19.8,0,328
Fula,19,5,19.0,19,19
Wolof,28,4,18.3,0,28
French,295,6,17.7,0,0
Khmer,292,6,17.5,0,0
Tedim,17,3,17.0,17,17
Taishanese,16,3,16.0,16,16
Dinka,24,5,15.7,0,24
Bengali,23,5,15.1,0,23
Kinyarwanda,23,5,15.0,0,23
Chinese-Mandarin,248,5,14.9,0,0
Maay Maay,14,2,14.0,14,14
Palau,14,2,14.0,14,14
Cebuano,20,4,13.1,0,20
Telugu,19,2,12.4,0,19
Kirundi,12,2,12.0,12,12
Uzbek,17,3,11.2,0,17
Tigrinya,175,6,10.6,0,0
Bosnian,16,4,10.5,0,16
Gujarati,16,4,10.5,0,16
Burmese,249,6,10.1,0,0
Chinese-Taiwanese,10,5,10.0,10,10
Malayalam,14,5,9.2,0,14
Hmong,13,2,8.5,0,13
Korean,139,5,8.3,0,0
Mandingo,8,3,8.0,8,8
Swahili,128,6,7.7,0,0
Mongolian,11,3,7.2,0,11
Indonesian,11,3,7.199999999999999,0,11
Chin,7,4,7.0,7,7
Kikuyu,7,3,7.0,7,7
Hindi,116,6,6.8999999999999995,0,116
Samoan,111,6,6.8,0,0
Chuukese,111,6,6.7,0,0
Rohingya,6,2,6.0,6,6
Ayula-Bambara,6,1,6.0,6,6
Albanian,9,3,5.9,0,9
Chamorro,9,3,5.9,0,9
Luganda,8,2,5.2,0,8
Oromo,84,6,5.1,0,0
Tarasco,5,2,5.0,5,5
Karenni,5,1,5.0,5,5
Fallani,5,3,5.0,5,5
Nuer,7,3,4.6,0,7
Hawaiian,7,3,4.6,0,7
Romanian,73,6,4.5,0,0
Lao,71,6,4.3,0,0
Moore,4,2,4.0,4,4
Kakwa,4,2,4.0,4,4
Bangala,4,2,4.0,4,4
Maya-Quiche,4,2,4.0,4,4
Bulgarian,6,3,4.0,0,6
Mandinka,4,2,4.0,4,4
Yap,4,1,4.0,4,4
Twi,5,3,3.3,0,5
Akateko,3,1,3.0,3,3
"Greek, Modern",3,2,3.0,3,3
Serbo-Croation,3,2,3.0,3,3
Eritai,3,2,3.0,3,3
Malay,4,4,2.8,0,4
Hausa,4,2,2.7,0,4
Italian,4,3,2.7,0,4
Mam,4,2,2.7,0,4
Tongan,46,6,2.7,0,0
Igbo,4,2,2.6,0,4
Marathi,4,1,2.6,0,4
Japanese,43,4,2.6,0,0
Thai,35,6,2.1,0,0
Azerbaijani,3,3,2.0999999999999996,0,3
Armenian,3,1,2.0,0,3
Aguacateco,2,1,2.0,2,2
American Sign Language,34,5,2.0,34,34
Sinhalese,2,1,2.0,2,2
Krahn,2,2,2.0,2,2
Dutch,3,2,2.0,0,3
Egyptian-Arabic,2,1,2.0,2,2
Chinese-Fukienese,2,1,2.0,2,2
Kmhmu,2,1,2.0,2,2
Mixteco,2,1,2.0,2,2
Kongo,2,1,2.0,2,2
Pere,2,1,2.0,2,2
Tajiki,2,1,2.0,2,2
Purepecha,2,1,2.0,2,2
Sotho,2,1,2.0,2,2
Polish,3,2,2.0,0,3
Marquesan,2,1,2.0,2,2
Kannada,2,2,1.4,0,2
Krio,2,2,1.4,0,2
Shona,2,1,1.3,0,2
Estonian,2,1,1.3,0,2
Bambara,2,1,1.3,0,2
Kazakh,2,1,1.3,0,2
Hungarian,2,1,1.3,0,2
Ewe,2,1,1.3,0,2
Yoruba,2,1,1.3,0,2
Latvian,2,1,1.3,0,2
Tamil,19,3,1.2,0,19
"Nahuatl, Guerrero region",1,1,1.0,1,1
Moldavian,1,1,1.0,1,1
Kru,1,1,1.0,1,1
Carolinian,1,1,1.0,1,1
Kirgiz,1,1,1.0,1,1
Herero,1,1,1.0,1,1
Bassa,1,1,1.0,1,1
Pashai,1,1,1.0,1,1
Sao,1,1,1.0,1,1
Acholi,1,1,0.7,0,1
Catalan,1,1,0.7,0,1
Slovenian,1,1,0.7,0,1
Ga,1,1,0.7,0,1
Tibetan,1,1,0.7,0,1
German,5,3,0.30000000000000004,0,5
