language,families_south_king_county,kc_tier,kc_status,on_tier_map,tier_map_source,tier_map_vintage
Spanish,19569,1,translation REQUIRED,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Dari,3040,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Vietnamese,2033,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Ukrainian,1781,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Pashto,1127,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Somali,1078,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Russian,873,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Punjabi,785,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Arabic,620,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Marshallese,446,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Amharic,432,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Chinese-Cantonese,412,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tagalog,353,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Portuguese,337,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Farsi,328,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
French,295,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Khmer,292,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Burmese,249,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Chinese-Mandarin,248,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tigrinya,175,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Turkish,161,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Nepali,150,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Korean,139,2,translation recommended,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Swahili,128,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Hindi,116,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Samoan,111,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Chuukese,111,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Oromo,84,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Romanian,73,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Lao,71,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Lingala,62,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kosraean,52,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Kurdish,51,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Urdu,51,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tongan,46,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Haitian Creole,46,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Japanese,43,3,translation encouraged,True,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
