location_id,language
kcls-154,Arabic
kcls-154,Dari
kcls-154,Farsi
kcls-154,French
kcls-154,Hindi
kcls-154,Portuguese
kcls-154,Somali
kcls-154,Spanish
kcls-154,Vietnamese
kcls-155,Spanish
kcls-1489,Russian
kcls-1489,Spanish
kcls-1489,Ukrainian
kcls-1490,Marshallese
kcls-1490,Russian
kcls-1490,Spanish
kcls-1490,Tagalog
kcls-1494,Somali
kcls-1494,Spanish
kcls-1495,Arabic
kcls-1495,Chinese-Cantonese
kcls-1495,Chinese-Mandarin
kcls-1495,Somali
kcls-1495,Spanish
kcls-1495,Vietnamese
kcls-1497,Arabic
kcls-1497,Chinese-Cantonese
kcls-1497,Chinese-Mandarin
kcls-1497,Hindi
kcls-1497,Punjabi
kcls-1497,Russian
kcls-1497,Spanish
kcls-1497,Tagalog
kcls-1497,Ukrainian
kcls-1502,Russian
kcls-1502,Spanish
kcls-1502,Vietnamese
kcls-1505,Chinese-Cantonese
kcls-1505,Chinese-Mandarin
kcls-1505,Korean
kcls-1505,Russian
kcls-1505,Spanish
kcls-1505,Ukrainian
kcls-1508,Chinese-Cantonese
kcls-1508,Chinese-Mandarin
kcls-1508,Hindi
kcls-1508,Korean
kcls-1508,Russian
kcls-1508,Somali
kcls-1508,Spanish
kcls-1508,Tagalog
kcls-1508,Vietnamese
kcls-1509,Chinese-Cantonese
kcls-1509,Chinese-Mandarin
kcls-1509,Dari
kcls-1509,Farsi
kcls-1509,Hindi
kcls-1509,Japanese
kcls-1509,Korean
kcls-1509,Punjabi
kcls-1509,Russian
kcls-1509,Spanish
kcls-1509,Tagalog
kcls-1509,Ukrainian
kcls-1509,Vietnamese
kcls-1510,Arabic
kcls-1510,Somali
kcls-1510,Spanish
kcls-1510,Vietnamese
kcls-1526,Spanish
kcls-1538,Chinese-Cantonese
kcls-1538,Chinese-Mandarin
kcls-1538,Korean
kcls-1538,Russian
kcls-1538,Spanish
kcls-1538,Tagalog
kcls-1538,Vietnamese
kcls-1541,Amharic
kcls-1541,Chinese-Cantonese
kcls-1541,Chinese-Mandarin
kcls-1541,Somali
kcls-1541,Spanish
kcls-1541,Vietnamese
kcls-1546,Amharic
kcls-1546,Arabic
kcls-1546,French
kcls-1546,Punjabi
kcls-1546,Somali
kcls-1546,Spanish
kcls-1547,Chinese-Cantonese
kcls-1547,Chinese-Mandarin
kcls-1547,Somali
kcls-1547,Spanish
kcls-1547,Vietnamese
kcls-1549,Arabic
kcls-1549,Hindi
kcls-1549,Russian
kcls-1549,Spanish
kcls-1556,Arabic
kcls-1556,Chinese-Cantonese
kcls-1556,Chinese-Mandarin
kcls-1556,Hindi
kcls-1556,Russian
kcls-1556,Somali
kcls-1556,Spanish
kcls-1556,Ukrainian
kcls-1556,Vietnamese
kcls-1557,Chinese-Cantonese
kcls-1557,Chinese-Mandarin
kcls-1557,Korean
kcls-1557,Russian
kcls-1557,Spanish
kcls-1557,Vietnamese
kcmetro-21945,Tagalog
kcmetro-42576,Tagalog
kcmetro-42961,Tagalog
kcmetro-45301,Tagalog
kcmetro-45303,Tagalog
kcmetro-45305,Tagalog
kcmetro-46463,Tagalog
kcmetro-46464,Tagalog
kcmetro-46465,Tagalog
kcmetro-46476,Tagalog
kcmetro-46477,Tagalog
kcmetro-46478,Tagalog
kcmetro-46479,Tagalog
kcmetro-50011,Tagalog
kcmetro-50013,Tagalog
kcmetro-50014,Tagalog
kcmetro-50479,Tagalog
kcmetro-52303,Tagalog
kcmetro-52304,Tagalog
kcmetro-52305,Tagalog
kcmetro-52306,Tagalog
kcmetro-53504,Tagalog
kcmetro-53541,Tagalog
kcmetro-53542,Tagalog
kcmetro-55938,Tagalog
kcmetro-57451,Tagalog
kcmetro-57452,Tagalog
kcmetro-57453,Tagalog
kcmetro-57455,Tagalog
kcmetro-57458,Tagalog
kcmetro-57459,Tagalog
kcmetro-57773,Tagalog
kcmetro-57774,Tagalog
kcmetro-57775,Tagalog
kcmetro-57776,Tagalog
kcmetro-57892,Tagalog
kcmetro-59842,Tagalog
kcmetro-59881,Tagalog
kcmetro-59882,Tagalog
kcmetro-59904,Tagalog
kcmetro-60921,Tagalog
kcmetro-60922,Tagalog
kcmetro-60923,Tagalog
kcmetro-85531,Tagalog
