district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Highline School District,Spanish,5408,conservative,2,2,2,12,0,City of Burien,City of Burien; City of Tukwila; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System,3244.8,1081.6,2595.8,0.48,0,0,5408
Kent School District,Spanish,3724,conservative,2,2,2,11,0,Public Health Seattle and King County,City of Auburn; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System; NW Immigrant Rights Project,2234.4,744.8,1787.5,0.48,0,0,3724
Federal Way School District,Spanish,3480,conservative,2,2,2,11,0,Federal Way School District,DSHS Basic Food (SNAP); Eastside Legal Assistance Program; Federal Way School District; International Community Health Services; King County Library System; NW Immigrant Rights Project,2088.0,696.0,1670.4,0.48,0,0,3480
Auburn School District,Spanish,3432,conservative,2,2,2,12,0,Auburn School District,Auburn School District; City of Auburn; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System,2059.2,686.4,1647.4,0.48,0,0,3432
Renton School District,Spanish,2695,conservative,2,2,2,12,0,Renton School District,City of Tukwila; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System; NW Immigrant Rights Project,1617.0,539.0,1293.6,0.48,0,0,2695
Kent School District,Dari,962,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,577.2,192.4,461.8,0.48,0,0,962
Federal Way School District,Dari,863,conservative,2,2,2,5,0,Federal Way School District,DSHS Basic Food (SNAP); Federal Way School District; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,517.8,172.6,414.2,0.48,0,0,863
Auburn School District,Ukrainian,737,conservative,2,2,2,5,0,Auburn School District,Auburn School District; City of Auburn; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,442.2,147.4,353.8,0.48,0,0,737
Tukwila School District,Spanish,830,conservative,2,2,3,12,0,Tukwila School District,City of Tukwila; DSHS Basic Food (SNAP); Eastside Legal Assistance Program; International Community Health Services; King County Library System; NW Immigrant Rights Project,498.0,0.0,348.6,0.42,0,0,830
Auburn School District,Dari,679,conservative,2,2,2,5,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,407.4,135.8,325.9,0.48,0,0,679
Renton School District,Vietnamese,635,conservative,2,2,2,11,0,Renton School District,City of Tukwila; DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County,381.0,127.0,304.8,0.48,0,0,635
